,x,y
classic malaysian pop,7467,551
philly indie,7850,374
ukrainian hip hop,7408,1049
estonian hip hop,4448,982
christian punk,5152,411
clawhammer banjo,12779,918
nz christian,8403,445
swamp rock,9451,803
blues-rock guitar,8751,857
pop costarricense,5229,1020
indie platense,7118,492
manitoba indie,9106,551
german punk rock,4375,413
lilith,10265,593
sunshine pop,11545,673
cimbalom,13765,718
vancouver metal,6342,256
burkinabe traditional,12400,1109
derry indie,9848,488
thai traditional,15461,814
israeli jazz,13347,779
minimal tech house,570,1385
early reggae,7585,1159
rap cristao,5899,1057
neue deutsche todeskunst,3240,443
chinese hip hop,5100,1027
grupera,8687,959
youth orchestra,16012,215
denver rap,5936,990
chicago rap,5057,1007
australian indie rock,5958,445
instrumental surf,9959,449
palestinian pop,9315,799
rap pernambucano,7196,1016
entehno,11963,619
israeli rock,9290,596
lancaster pa indie,10544,443
chant religieux,14526,293
croatian indie,7210,527
freakbeat,10241,563
oakland indie,8211,451
indie electropop,5539,707
musica baiana,8763,894
chinese minyao,10521,603
hammered dulcimer,12359,715
dalarna indie,8428,407
vintage jazz,15356,1046
german singer-songwriter,8594,770
musica mogiana,10357,874
polish modern jazz,13347,624
hindi worship,9155,547
indian classical,14360,684
oakland hip hop,5819,1069
lithuanian hip hop,4245,1066
turkish hip hop,5987,1003
dominican pop,6930,1109
ritmo kombina,5365,1084
powwow,9204,832
rock viet,7313,490
k-pop,4163,790
garage rock,7953,384
boston indie,9130,459
swancore,5127,298
russian gangster rap,6665,999
plunderphonics,7566,765
taiwan experimental,10143,482
world chill,6089,842
musica piemonteisa,10702,970
ethnomusicology,14032,943
classical trumpet,14338,579
experimental indie,9738,693
bern indie,5787,767
theme,11585,385
wonky,5264,803
japanese soundtrack,11407,409
brass ensemble,15454,503
spanish folk rock,7728,601
canadian rock,4671,413
spanish new wave,5355,653
dutch r&b,6185,943
modern bollywood,10625,760
piada,12884,1175
jazz composition,13082,790
rajasthani folk,12459,763
bengali folk,14712,715
belgian jazz,14250,821
thai idol,6292,741
h8000,8908,319
chinese post-rock,9600,391
brega,8466,770
indonesian city pop,7878,614
classic portuguese pop,5008,827
japanese indie rock,4155,372
british alternative rock,4808,345
swamp pop,10118,842
oulu indie,7161,387
birmingham hip hop,8231,1049
r&b italiano,6877,844
vintage old-time,15684,1049
wisconsin indie,9946,445
zydeco,9080,867
stomp and holler,10728,535
dutch punk,6721,340
baroque singing,15627,397
filmi,11791,781
lafayette indie,8440,551
nueva ola chilena,12398,593
rawstyle,2149,522
banjo,12544,906
nueva trova chilena,12422,819
bluegrass gospel,12074,844
memphis hip hop,2269,1134
western saharan folk,10714,882
toronto rap,5744,1046
trap,4307,1058
deep turkish pop,4708,810
german cloud rap,6652,1042
carnaval,3149,783
argentine indie rock,6477,374
south african gospel,10020,549
brazilian hip hop,7598,1068
boston hip hop,7654,993
japanese singer-songwriter,8527,596
thai folk,9328,621
haitian dance,5911,965
chicha,8256,1033
adventista,10653,453
japanese girl punk,5352,407
memphis americana,9501,707
north carolina indie,10817,473
grime brasileiro,7383,1033
indie folk,11543,586
classic australian country,11100,840
musica sul-mato-grossense,7988,788
swing revival,10482,930
underground latin hip hop,5539,1095
greek underground rap,6818,1003
hawaiian hip hop,7147,1073
karadeniz halk muzigi,9464,673
hip hop tuga,7184,1047
southern rock,9602,524
aberdeen indie,8064,385
estonian rock,10008,471
greek rock,4708,395
belfast indie,7069,384
swedish hip hop,6905,1022
sinhala pop,8199,861
malian traditional,12444,1116
praise,9204,601
jordanian pop,6649,774
